applicant_id,credit_score,annual_income,loan_amount,dti_ratio,employment_tenure,default
APP00000,349,167411,44029,0.44,4,1
APP00001,726,155240,4041,0.58,0,0
APP00002,660,124914,20478,0.29,13,0
APP00003,541,180689,23455,0.31,14,0
APP00004,538,51805,40096,0.51,16,1
APP00005,773,186580,7322,0.35,19,0
APP00006,347,174539,22269,0.47,10,0
APP00007,684,115618,8464,0.33,17,0
APP00008,411,154677,39594,0.21,15,1
APP00009,351,118447,31982,0.47,5,1
APP00010,590,75690,25340,0.17,17,0
APP00011,837,165978,20253,0.2,1,0
APP00012,705,71806,8505,0.41,12,0
APP00013,719,83456,46171,0.47,19,0
APP00014,695,118280,32736,0.55,13,0
APP00015,733,172355,16638,0.24,19,0
APP00016,582,95267,21283,0.16,1,0
APP00017,370,114004,36583,0.58,11,1
APP00018,762,37083,36259,0.18,16,0
APP00019,548,49695,23594,0.2,13,0
APP00020,575,39511,15842,0.25,18,0
APP00021,504,42250,33338,0.36,9,0
APP00022,400,177649,33254,0.54,14,0
APP00023,810,173139,30385,0.48,8,0
APP00024,730,169721,4569,0.45,18,0
APP00025,654,39446,24166,0.19,2,0
APP00026,521,43199,31082,0.28,5,0
APP00027,753,77704,47553,0.34,2,0
APP00028,600,126100,26753,0.17,14,0
APP00029,544,86802,17793,0.24,4,0
APP00030,548,112885,28234,0.25,6,0
APP00031,425,59409,9684,0.16,17,1
APP00032,350,154232,5444,0.38,7,1
APP00033,605,83362,34227,0.45,3,0
APP00034,789,41312,49323,0.13,0,0
APP00035,335,156258,42455,0.34,4,1
APP00036,772,183474,29600,0.49,19,0
APP00037,756,32496,2972,0.47,11,0
APP00038,452,104234,49411,0.51,20,1
APP00039,648,170620,23032,0.32,4,0
APP00040,391,150048,15193,0.51,7,1
APP00041,717,175614,44732,0.22,3,0
APP00042,685,100586,37574,0.28,8,0
APP00043,495,93284,37732,0.19,11,0
APP00044,337,150560,14610,0.33,16,0
APP00045,834,56114,49599,0.3,7,0
APP00046,545,70701,23190,0.22,16,0
APP00047,792,132143,27039,0.48,13,0
APP00048,673,143637,37797,0.26,6,0
APP00049,728,50344,33340,0.24,19,0
APP00050,718,116413,9442,0.17,9,0
APP00051,407,92036,15821,0.32,3,1
APP00052,500,115297,18698,0.25,20,0
APP00053,557,192933,47430,0.28,19,0
APP00054,574,43023,36011,0.22,1,0
APP00055,324,199229,18950,0.48,18,0
APP00056,601,106428,37002,0.57,19,0
APP00057,385,161258,37187,0.35,17,1
APP00058,709,102160,20317,0.42,5,0
APP00059,676,82863,20754,0.53,13,0
APP00060,808,161002,44821,0.6,11,0
APP00061,710,146903,28529,0.41,13,0
APP00062,502,54490,8326,0.54,12,0
APP00063,833,149919,36270,0.55,13,0
APP00064,526,158023,29889,0.5,10,0
APP00065,479,95933,25938,0.33,14,0
APP00066,798,187361,36530,0.14,11,0
APP00067,504,138951,45448,0.11,0,1
APP00068,342,86717,17191,0.34,0,1
APP00069,558,31823,21546,0.35,20,0
APP00070,738,144743,10285,0.3,19,0
APP00071,404,65540,32707,0.38,12,0
APP00072,555,158610,20733,0.38,3,0
APP00073,371,119265,17776,0.52,16,0
APP00074,678,109343,35130,0.15,3,0
APP00075,562,57837,21000,0.21,7,0
APP00076,481,150956,23754,0.5,6,0
APP00077,425,58204,22562,0.52,0,1
APP00078,611,101018,13668,0.6,16,0
APP00079,669,172172,7164,0.54,10,0
APP00080,818,186463,41535,0.54,6,0
APP00081,540,198153,5494,0.26,10,0
APP00082,388,192862,16919,0.3,0,0
APP00083,758,124515,33707,0.23,9,0
APP00084,647,64081,7433,0.4,10,0
APP00085,685,172642,33121,0.57,7,0
APP00086,353,166277,36920,0.27,17,1
APP00087,472,198355,33483,0.38,5,0
APP00088,723,140661,15946,0.25,2,0
APP00089,758,54071,1968,0.18,11,0
APP00090,539,115493,44481,0.2,18,0
APP00091,743,106202,17001,0.13,7,0
APP00092,763,173301,40446,0.57,0,0
APP00093,513,96737,10692,0.3,20,0
APP00094,794,85861,8958,0.52,9,0
APP00095,458,43608,39130,0.44,3,1
APP00096,431,172028,47047,0.2,12,1
APP00097,676,158406,43171,0.19,6,0
APP00098,650,37008,37811,0.51,19,0
APP00099,377,103742,13087,0.23,6,1
APP00100,758,111552,45748,0.56,11,0
APP00101,410,109786,33725,0.17,11,1
APP00102,743,186219,9436,0.44,5,0
APP00103,304,55614,7338,0.51,10,1
APP00104,739,82078,43687,0.22,2,0
APP00105,733,60757,14482,0.24,13,0
APP00106,729,71494,38529,0.58,15,0
APP00107,666,184208,7794,0.23,19,0
APP00108,559,189923,14746,0.31,6,0
APP00109,688,37590,14892,0.32,5,0
APP00110,452,137456,14774,0.23,11,0
APP00111,730,69585,34062,0.49,14,0
APP00112,606,62735,45805,0.49,20,0
APP00113,552,79650,45606,0.29,0,0
APP00114,578,63045,37336,0.52,5,0
APP00115,613,113334,10923,0.21,5,0
APP00116,320,199254,48069,0.1,5,1
APP00117,377,129696,27562,0.39,9,0
APP00118,435,152952,27752,0.6,18,0
APP00119,363,113859,35368,0.12,0,1
APP00120,542,32364,38686,0.2,17,0
APP00121,668,44299,47694,0.36,12,0
APP00122,660,75708,29537,0.5,12,0
APP00123,559,71423,30893,0.14,14,0
APP00124,771,172899,37531,0.3,2,0
APP00125,611,173410,13500,0.47,15,0
APP00126,343,175201,16078,0.29,5,0
APP00127,721,138390,31649,0.19,10,0
APP00128,616,124549,4142,0.2,14,0
APP00129,649,140355,16704,0.31,12,0
APP00130,611,99157,36182,0.34,6,0
APP00131,605,143935,48831,0.53,8,0
APP00132,349,165056,26455,0.42,10,1
APP00133,608,159694,20584,0.45,0,1
APP00134,737,134351,22578,0.59,15,0
APP00135,467,39878,34586,0.31,2,0
APP00136,632,153242,27679,0.3,9,0
APP00137,316,92323,2138,0.56,13,1
APP00138,491,156424,27423,0.22,1,0
APP00139,540,121720,20603,0.46,20,0
APP00140,841,179802,35339,0.48,7,0
APP00141,418,87537,43881,0.15,0,1
APP00142,452,188337,48160,0.33,13,0
APP00143,525,173562,30901,0.2,11,0
APP00144,846,86288,18765,0.19,13,0
APP00145,770,112037,22753,0.33,15,0
APP00146,319,120329,9646,0.24,9,0
APP00147,428,160667,46861,0.5,17,0
APP00148,752,147157,42519,0.55,7,0
APP00149,332,174843,42846,0.5,11,1
APP00150,771,92877,17078,0.23,3,1
APP00151,455,115815,16788,0.24,13,0
APP00152,805,103247,42974,0.23,5,0
APP00153,461,184624,27683,0.17,14,0
APP00154,539,81847,35528,0.57,16,1
APP00155,664,129811,25001,0.3,18,0
APP00156,369,50428,22696,0.21,19,1
APP00157,606,174547,31978,0.52,2,1
APP00158,578,95317,40836,0.3,2,0
APP00159,731,87900,17371,0.12,19,0
APP00160,848,129096,40648,0.18,7,0
APP00161,666,114799,12966,0.42,0,0
APP00162,525,174156,20738,0.49,6,0
APP00163,523,120340,45721,0.21,17,0
APP00164,530,117889,47769,0.56,7,0
APP00165,748,47846,46270,0.53,1,0
APP00166,476,33729,16486,0.52,15,1
APP00167,392,97754,42323,0.21,4,1
APP00168,484,199696,46869,0.13,7,1
APP00169,312,185948,48932,0.53,0,1
APP00170,358,136927,2024,0.25,12,0
APP00171,349,137242,37505,0.41,9,1
APP00172,725,96556,49841,0.48,18,0
